k,d,ek,ed,roundSwing,adr,eadr,kast,ekast,rating,playerID,side,team,map,matchID
12.0,21.0,13.0,19.0,-1.4,52.5,54.8,62.5,67.2,0.87,20889,t,illwill,All,2389203
8.0,21.0,8.0,20.0,-4.63,60.8,65.7,66.7,69.2,0.66,9656,t,illwill,All,2389203
6.0,22.0,7.0,21.0,-6.09,45.9,53.8,41.7,55.2,0.55,8311,t,illwill,All,2389203
19.0,10.0,17.0,11.0,5.49,99.3,96.0,83.3,92.6,1.63,22460,total,Nemiga,anb,2389203
14.0,6.0,14.0,7.0,5.82,87.2,85.2,100.0,86.1,1.55,23319,total,Nemiga,anb,2389203
17.0,10.0,17.0,12.0,5.77,85.8,82.6,83.3,71.7,1.48,19920,total,Nemiga,anb,2389203
9.0,10.0,10.0,11.0,-1.38,66.1,63.9,83.3,75.8,0.97,22325,total,Nemiga,anb,2389203
11.0,9.0,9.0,10.0,-1.57,68.4,60.9,94.4,85.9,0.95,23317,total,Nemiga,anb,2389203
12.0,7.0,13.0,8.0,6.13,85.4,87.4,83.3,76.2,1.55,19920,ct,Nemiga,anb,2389203
11.0,4.0,11.0,4.0,4.55,94.7,92.0,100.0,80.6,1.5,23319,ct,Nemiga,anb,2389203
11.0,9.0,9.0,10.0,-2.04,92.7,88.9,75.0,90.0,1.01,22460,ct,Nemiga,anb,2389203
8.0,6.0,6.0,7.0,-2.55,72.1,62.7,91.7,81.2,0.87,23317,ct,Nemiga,anb,2389203
4.0,6.0,4.0,6.0,-4.01,64.7,61.8,91.7,81.0,0.79,22325,ct,Nemiga,anb,2389203
8.0,1.0,8.0,1.0,20.54,112.7,110.1,100.0,97.8,2.88,22460,t,Nemiga,anb,2389203
3.0,2.0,3.0,2.0,8.34,72.2,71.6,100.0,97.0,1.64,23319,t,Nemiga,anb,2389203
5.0,4.0,5.0,4.0,3.88,68.8,68.1,66.7,65.5,1.34,22325,t,Nemiga,anb,2389203
5.0,3.0,4.0,4.0,5.04,86.7,72.9,83.3,62.6,1.32,19920,t,Nemiga,anb,2389203
3.0,3.0,3.0,4.0,0.4,61.0,57.5,100.0,95.4,1.09,23317,t,Nemiga,anb,2389203
11.0,11.0,12.0,11.0,1.89,56.4,57.9,61.1,52.7,1.08,19698,total,illwill,anb,2389203
