matchid,playerid,teamid,mapid,sideid,k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating
2389436,22956,6033,6,1,0.0,1.0,0.0,1.0,-1.95,32.0,32.8,0.0,0.0,0.32
2389436,17585,6033,6,1,0.0,1.0,0.0,1.0,-13.33,47.0,48.1,0.0,0.0,0.15
2389436,16814,6033,6,1,0.0,1.0,0.0,1.0,-28.0,0.0,0.0,0.0,0.0,0.02
2389436,16814,6033,6,2,5.0,11.0,5.0,11.0,-4.18,60.8,62.5,50.0,55.6,0.57
2389436,18894,6033,6,2,5.0,12.0,5.0,11.0,-6.23,52.9,55.7,41.7,47.5,0.52
2389436,17585,6033,6,2,2.0,12.0,3.0,10.0,-6.2,40.8,45.9,41.7,38.6,0.35
2389436,22956,6033,6,2,3.0,11.0,3.0,10.0,-8.65,35.4,37.2,33.3,26.6,0.3
2389436,18891,6033,6,2,1.0,12.0,1.0,10.0,-13.22,23.7,30.8,16.7,19.8,0.17
2389436,14736,9996,6,0,18.0,1.0,16.0,1.0,13.17,116.5,102.7,92.3,87.9,2.36
2389436,12092,9996,6,0,11.0,4.0,11.0,5.0,6.34,90.3,86.0,92.3,89.1,1.7
2389436,22613,9996,6,0,12.0,6.0,12.0,7.0,4.94,94.2,87.8,100.0,97.2,1.66
2389436,14737,9996,6,0,12.0,3.0,9.0,3.0,9.16,81.2,67.4,92.3,88.1,1.61
2389436,20394,9996,6,0,10.0,4.0,10.0,5.0,5.92,104.2,100.7,100.0,96.9,1.59
2389436,14736,9996,6,1,18.0,0.0,16.0,0.0,16.17,126.2,111.2,100.0,95.2,2.55
2389436,22613,9996,6,1,11.0,5.0,11.0,6.0,3.8,93.8,86.8,100.0,96.0,1.58
2389436,14737,9996,6,1,11.0,3.0,8.0,3.0,8.84,79.9,64.9,91.7,86.2,1.55
2389436,20394,9996,6,1,9.0,4.0,9.0,5.0,5.39,105.5,101.8,100.0,95.7,1.54
2389436,12092,9996,6,1,9.0,4.0,9.0,5.0,4.28,80.2,75.4,91.7,87.3,1.49
2389436,12092,9996,6,2,2.0,0.0,2.0,0.0,30.97,212.0,213.1,100.0,110.9,4.3
2389436,22613,9996,6,2,1.0,1.0,1.0,1.0,18.67,99.0,99.5,100.0,110.9,2.58
2389436,14737,9996,6,2,1.0,0.0,1.0,0.0,12.92,97.0,97.5,100.0,110.9,2.31
2389436,20394,9996,6,2,1.0,0.0,1.0,0.0,12.31,88.0,88.5,100.0,110.9,2.24
2389436,14736,9996,6,2,0.0,1.0,0.0,1.0,-22.86,0.0,0.0,0.0,0.0,0.03
2389436,18894,6033,4,0,25.0,22.0,26.0,22.0,3.09,95.6,96.8,73.3,72.3,1.39
2389436,22956,6033,4,0,22.0,21.0,22.0,22.0,4.62,78.7,80.6,70.0,74.3,1.23
2389436,17585,6033,4,0,22.0,22.0,23.0,22.0,1.04,77.1,79.0,66.7,68.7,1.19
2389436,18891,6033,4,0,11.0,23.0,12.0,22.0,-3.93,40.2,41.4,50.0,53.7,0.64
2389436,16814,6033,4,0,15.0,24.0,15.0,25.0,-6.37,60.1,60.2,56.7,61.6,0.61
2389436,17585,6033,4,1,15.0,10.0,17.0,11.0,8.73,88.3,91.2,80.0,84.2,1.7
2389436,22956,6033,4,1,12.0,10.0,12.0,10.0,5.56,89.2,92.7,73.3,71.8,1.34
2389436,18894,6033,4,1,10.0,11.0,11.0,11.0,-0.64,86.7,91.6,73.3,71.6,1.11
2389436,18891,6033,4,1,6.0,9.0,7.0,8.0,-2.99,36.4,38.5,53.3,57.6,0.71
2389436,16814,6033,4,1,5.0,11.0,5.0,12.0,-8.13,48.9,50.5,46.7,49.4,0.43
2389436,18894,6033,4,2,15.0,11.0,15.0,11.0,6.81,104.6,102.0,73.3,73.0,1.66
2389436,22956,6033,4,2,10.0,11.0,10.0,12.0,3.67,68.2,68.4,66.7,76.8,1.13
